"PRODUCT_CATEGORY_NAME_ENGLISH","TOTAL_ORDERS","TOTAL_REVENUE","AVERAGE_REVIEW_SCORE",
"health_beauty",8771,1252404.85,4.1427682737169517884914463452566096423,
"watches_gifts",5576,1197565.48,4.01915966386554621848739495798319327731,
"bed_bath_table",9313,1040140.31,3.89566310496543054682589566310496543055,
"sports_leisure",7669,986848.92,4.10798611111111111111111111111111111111,
"computers_accessories",6649,914579.39,3.93081921263855268187030194929290355459,
"furniture_decor",6398,729864.42,3.90349297803384947785379906373784659705,
"housewares",5843,630058.22,4.05501944404436122713524413077920207403,
"cool_stuff",3599,629561.68,4.14634146341463414634146341463414634146,
"auto",3877,586669.9,4.06551151198670780916211725611203417992,
"garden_tools",3496,482946.89,4.04273504273504273504273504273504273504,
"toys",3853,479702.1,4.1586409190906868736250305548765582987,
"baby",2861,408716.75,4.01181102362204724409448818897637795276,
"perfumery",3150,398578.07,4.16194095293773750365390236772873428822,
"telephony",4168,320111.07,3.94686738986052689838388310825769315918,
"office_furniture",1263,272339.82,3.49318316538233550681683461766449318317,
"stationery",2295,229835.78,4.19385719984044674910251296370163542082,
"computers",178,214198.13,4.175,
"pet_shop",1701,213522.92,4.18514698298091799896854048478597215059,
"small_appliances",624,189594.18,4.14918759231905465288035450516986706056,
"musical_instruments",622,188876.46,4.15259259259259259259259259259259259259,
"electronics",2531,156383.07,4.03746817024372499090578392142597308112,
"consoles_games",1052,155906.27,4.02307009760425909494232475598935226264,
"fashion_bags_accessories",1854,152836.42,4.14467876410004904364884747425208435508,
"construction_tools_construction",743,143797,4.05291576673866090712742980561555075594,
"luggage_accessories",1030,139845.2,4.31525735294117647058823529411764705882,
"home_appliances_2",232,113216.49,4.14285714285714285714285714285714285714,
"home_appliances",761,82973.75,4.17245657568238213399503722084367245658,
"home_construction",487,82877.47,3.94,
"agro_industry_and_commerce",182,72530.47,4,
"furniture_living_room",417,68245.6,3.90438247011952191235059760956175298805,
"fixed_telephony",214,59023.02,3.68320610687022900763358778625954198473,
"home_confort",395,58051.84,3.82988505747126436781609195402298850575,
"air_conditioning",249,54330.06,3.96917808219178082191780821917808219178,
"audio",347,50458.71,3.82548476454293628808864265927977839335,
"small_appliances_home_oven_and_coffee",75,47445.71,4.30263157894736842105263157894736842105,
"books_general_interest",508,46580.13,4.44626593806921675774134790528233151184,
"kitchen_dining_laundry_garden_furniture",246,46204.47,3.96428571428571428571428571428571428571,
"construction_tools_safety",166,40515.52,3.84455958549222797927461139896373056995,
"construction_tools_lights",241,40478.23,4.05405405405405405405405405405405405405,
"industry_commerce_and_business",233,39559.61,4.1015037593984962406015037593984962406,
"food",445,28935.41,4.21818181818181818181818181818181818182,
"market_place",278,28313.18,4.01941747572815533980582524271844660194,
"costruction_tools_garden",194,25769.74,4.05416666666666666666666666666666666667,
"art",200,24037.74,3.93719806763285024154589371980676328502,
"fashion_shoes",236,23368.07,4.23371647509578544061302681992337164751,
"drinks",296,22415.96,4.04774535809018567639257294429708222812,
"signaling_and_security",138,21338.95,4.08629441624365482233502538071065989848,
"furniture_bedroom",95,20278.78,4.11818181818181818181818181818181818182,
"books_technical",257,19040.09,4.36842105263157894736842105263157894737,
"costruction_tools_tools",94,15774.25,4.44444444444444444444444444444444444444,
"food_drink",226,15245.47,4.31541218637992831541218637992831541219,
"fashion_male_clothing",111,10602.82,3.64122137404580152671755725190839694656,
"fashion_underwear_beach",120,9491.65,3.97692307692307692307692307692307692308,
"christmas_supplies",126,8090.1,4.02054794520547945205479452054794520548,
"cine_photo",65,6949.36,4.20547945205479452054794520547945205479,
"tablets_printing_image",77,6508.43,4.12345679012345679012345679012345679012,
"music",38,6034.35,4.21052631578947368421052631578947368421,
"dvds_blu_ray",58,5982.49,4.07936507936507936507936507936507936508,
"books_imported",53,4639.85,4.4,
"party_supplies",39,4485.18,3.76744186046511627906976744186046511628,
"furniture_mattress_and_upholstery",38,4368.08,3.81578947368421052631578947368421052632,
"fashio_female_clothing",39,2889.44,3.78,
"fashion_sport",27,2144.5,4.25806451612903225806451612903225806452,
"la_cuisine",12,1917.99,4,
"arts_and_craftmanship",23,1814.01,4.125,
"diapers_and_hygiene",27,1567.59,3.25641025641025641025641025641025641026,
"flowers",28,1000.24,4.41935483870967741935483870967741935484,
"cds_dvds_musicals",12,730,4.64285714285714285714285714285714285714,
"home_comfort_2",23,721.57,3.62962962962962962962962962962962962963,
"fashion_childrens_clothes",8,569.85,4.5,
"security_and_services",2,283.29,2.5,
